,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,80,6,20594,3,4,315,935,315,0,105.0,181.8653348,935,0,233.75,467.5,60697.29047,339.9048266,3432.333333,8128.673611,20023,6,20281,10140.5,13975.96553,20023,258,20588,6862.666667,11623.02716,20283,27,0,0,0,0,72,92,145.6734971,194.2313295,0,935,156.25,333.4104078,111162.5,0,0,1,1,0,0,0,1,1,178.5714286,105.0,233.75,0,0,0,0,0,0,3,315,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
1,135,6,21103250,2,5,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.331702463,3517208.333,4755803.939,12000000,16,2671614,2671614.0,0.0,2671614,2671614,21100000,5275805.0,5032444.542,12000000,432191,0,0,0,0,80,168,0.094772132,0.236930331,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,2,0,5,0,63,0,0,40,3103821.0,0.0,3103821,3103821,8999714.5,4242524.015,12000000,5999797,RT
2,135,6,324,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,6174.090187066854,324.01046944652785,0.0,324,324,324,324.01046944652785,0.0,324,324,0,0.0,0.0,0,0,0,0,0,0,59,0,6174.090187066854,0.0,0,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Scanning
3,80,6,857,3,4,148,243,148,0,49.3333333333,85.4478398401,243,0,60.75,121.5,456242.707117853,8168.0280046675,142.8333333333,106.8202540096,301,1,497,248.5,152.0279579551,356,141,556,185.3333333333,174.5116997033,348,1,0,0,0,0,72,92,3500.5834305718,4667.4445740957,0,243,48.875,93.9930658537,8834.6964285714,0,0,0,1,0,0,0,0,1,55.8571428571,49.3333333333,60.75,0,0,0,0,0,0,3,148,4,243,8192,149,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
4,20000,6,4079290,7,0,1034,0,517,0,147.714285714286,252.270168857196,0,0,0.0,0.0,253.47546156170205,1.715984749450593,679881.7289236261,1664929.107630814,4078404,101,4079290,679881.7289236261,1664929.107630814,4078404,101,0,0.0,0.0,0,0,0,0,0,0,240,0,1.715984749450593,0.0,0,517,129.25,239.324495791205,57276.2142857143,1,2,0,2,5,0,0,0,0,147.714285714286,147.714285714286,0.0,0,0,0,0,0,0,7,1034,0,0,64240,0,2,32,0.0,0.0,0,0,0.0,0.0,0,0,Scanning
5,20000,6,870694,7,0,1034,0,517,0,147.714285714286,252.270168857196,0,0,0.0,0.0,1187.5596464526336,8.039572074631007,145115.7325209464,354832.59748399083,869414,144,870694,145115.7325209464,354832.59748399083,869414,144,0,0.0,0.0,0,0,0,0,0,0,240,0,8.039572074631007,0.0,0,517,129.25,239.324495791205,57276.2142857143,1,2,0,2,5,0,0,0,0,147.714285714286,147.714285714286,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,2,32,0.0,0.0,0,0,0.0,0.0,0,0,Scanning
6,445,6,650927,6,5,455,338,140,0,75.8333333333,62.9362110924,145,0,67.6,69.7588704037,1218.261110360269,16.898956133640628,65092.79483537793,83834.1574630248,166384,3,650826,130165.35888720278,72814.96151404352,166639,3,650865,162716.43809228428,3073.64197366348,166639,159149,0,0,0,0,132,112,9.217612436549077,7.68134369709155,0,145,66.0833333333,63.40269328,4019.9015151515,0,0,0,1,0,0,0,0,0,72.0909090909,75.8333333333,67.6,0,0,0,0,0,0,6,455,5,338,8192,0,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
7,20000,6,2125314,7,0,1034,0,517,0,147.714285714286,252.270168857196,0,0,0.0,0.0,486.5163282880489,3.2936308491453965,354219.0130625565,867200.8835058874,2124385,152,2125314,354219.0130625565,867200.8835058874,2124385,152,0,0.0,0.0,0,0,0,0,0,0,240,0,3.2936308491453965,0.0,0,517,129.25,239.324495791205,57276.2142857143,1,2,0,2,5,0,0,0,0,147.714285714286,147.714285714286,0.0,0,0,0,0,0,0,7,1034,0,0,64240,0,2,32,0.0,0.0,0,0,0.0,0.0,0,0,Scanning
8,80,6,14187,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,140.9741312,14187.0,0.0,14187,14187,14187,14187.0,0.0,14187,14187,0,0.0,0.0,0,0,0,0,0,0,40,0,140.9741312,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
9,80,6,14852,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,134.6619984,14852.0,0.0,14852,14852,14852,14852.0,0.0,14852,14852,0,0.0,0.0,0,0,0,0,0,0,40,0,134.6619984,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
